fecha,total_amount
2023-09-11,2052936.63
2023-09-12,2409008.68
2023-09-13,2416403.25
2023-09-14,2535537.08
2023-09-15,2266208.9
2023-09-16,2185911.4
2023-09-17,1813923.33
2023-09-18,1907603.47
2023-09-19,2134814.05
2023-09-20,2230537.49
2023-09-21,833728.26
2023-09-22,103177.58
2023-09-23,130392.45
2023-09-24,100817.9
2023-09-25,1566797.38
2023-09-26,2235424.92
2023-09-27,2381662.76
2023-09-28,2576115.8
2023-09-29,2207327.0
2023-09-30,2128822.58
