,Category,Model,Model Year,Manufacturer,Fuel,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count
497,SUV,AMG GLE 53 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,18.0,23.0,20.0,Automatic,SI,3.0L,6.0
498,SUV,AMG GLE 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,15.0,19.0,16.0,Automatic,SI,4.0L,8.0
214,SUV,AMG GLE 63 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,14.0,18.0,15.0,Automatic,SI,4.0L,8.0
215,SUV,AMG GLE 63 S 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,15.0,19.0,16.0,Automatic,SI,4.0L,8.0
216,SUV,AMG GLE 63 S 4MATIC+ (coupe),2022,Mercedes-Benz,Hybrid Electric,15.0,19.0,16.0,Automatic,SI,4.0L,8.0
499,SUV,AMG GLE 63 S 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,15.0,19.0,17.0,Automatic,SI,4.0L,8.0
500,SUV,AMG GLS 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,14.0,18.0,16.0,Automatic,SI,4.0L,8.0
501,Sedan/Wagon,AMG GT 43 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,20.0,25.0,22.0,Automatic,SI,3.0L,6.0
217,Sedan/Wagon,AMG GT 43 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,19.0,25.0,21.0,Automatic,SI,3.0L,6.0
218,Sedan/Wagon,AMG GT 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,19.0,25.0,21.0,Automatic,SI,3.0L,6.0
502,Sedan/Wagon,AMG GT 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,20.0,25.0,22.0,Automatic,SI,3.0L,6.0
748,Passenger Van/Shuttle Bus,AV Star,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
658,Transit Bus,AXESS 32' low floor,2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
659,Transit Bus,AXESS 32' low floor,2022,ENC,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
661,Transit Bus,AXESS 35' low floor,2022,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
660,Transit Bus,AXESS 35' low floor,2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
663,Transit Bus,AXESS 40' low floor,2022,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
662,Transit Bus,AXESS 40' low floor,2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
667,Transit Bus,AXESS-FC 40' low floor,2022,ENC,Hydrogen Fuel Cell,25.9,30.09,27.26,unknown,unknown,unknown,5.45
132,Sedan/Wagon,Accord,2022,Honda,Hybrid Electric,48.0,47.0,47.0,Automatic,SI,2.0L,4.0
434,Sedan/Wagon,Accord,2021,Honda,Hybrid Electric,48.0,48.0,48.0,Automatic,SI,2.0L,4.0
133,Sedan/Wagon,Accord Sport/Touring,2022,Honda,Hybrid Electric,44.0,41.0,43.0,Automatic,SI,2.0L,4.0
435,Sedan/Wagon,Accord Sport/Touring,2021,Honda,Hybrid Electric,44.0,41.0,43.0,Automatic,SI,2.0L,4.0
202,Sedan/Wagon,"Air Dream P AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,370kW and 459kW electric motors,7.33
203,Sedan/Wagon,"Air Dream P AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,370kW and 459kW electric motors,7.33
204,Sedan/Wagon,"Air Dream R AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,198kW and 498kW electric motors,7.33
205,Sedan/Wagon,"Air Dream R AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,198kW and 498kW electric motors,7.33
206,Sedan/Wagon,"Air G Touring AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,178kW and 433kW electric motors,7.33
207,Sedan/Wagon,"Air G Touring AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,178kW and 433kW electric motors,7.33
609,Passenger Van/Shuttle Bus,All American Activity,2022,Blue Bird,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
611,School Bus,All American RE Electric,2022,Blue Bird,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
612,Passenger Van/Shuttle Bus,All American RE Electric Activity,2022,Blue Bird,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
610,School Bus,All American Rear Engine - Class 7,2022,Blue Bird,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
858,Passenger Van/Shuttle Bus,Allstar 22,2022,Starcraft,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
799,Tractor,Anthem - Class 8,2022,Mack,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
564,Sedan/Wagon,Avalon Hybrid,2021,Toyota,Hybrid Electric,43.0,43.0,43.0,Automatic,SI,2.5L,4.0
282,Sedan/Wagon,Avalon Hybrid ,2022,Toyota,Hybrid Electric,43.0,43.0,43.0,Automatic,SI,2.5L,4.0
565,Sedan/Wagon,Avalon Hybrid XLE,2021,Toyota,Hybrid Electric,43.0,44.0,44.0,Automatic,SI,2.5L,4.0
283,Sedan/Wagon,Avalon Hybrid XLE,2022,Toyota,Hybrid Electric,43.0,44.0,44.0,Automatic,SI,2.5L,4.0
490,SUV,Aviator AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,22.0,25.0,23.0,Automatic,CI,3.0L,6.0
200,SUV,Aviator AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,22.0,25.0,23.0,Automatic,SI,3.0L,6.0
664,Transit Bus,Axess-BEB 32' low floor,2022,ENC,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
665,Transit Bus,Axess-BEB 35' low floor,2022,ENC,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
666,Transit Bus,Axess-BEB 40' low floor,2022,ENC,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
749,School Bus,BEAST,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
726,Transit Bus,"BRT, BRT Plus, Commuter",2022,Gillig,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
727,Transit Bus,"BRT, BRT Plus, Commuter",2022,Gillig,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
349,SUV,Bentayga,2021,Bentley Motors,Plug-in Hybrid Electric,17.0,21.0,19.0,Automatic,SI,3.0L,6.0
